Salt (molecular weight g/mol),Nature (valency),Cation Radius (pm),Concentration,Height,Material,Loop Style,,,
74.55,1,138,0.1,1.36,hBN,2,,,
74.55,1,138,1,1.36,hBN,3,,,
74.55,1,138,3,1.36,hBN,3,,,
58.44,1,102,0.1,1.36,hBN,2,,,
58.44,1,102,0.25,1.36,hBN,2,,,
58.44,1,102,1,1.36,hBN,3,,,
58.44,1,102,2,1.36,hBN,3,,,
58.44,1,102,3,1.36,hBN,3,,,
58.44,1,102,4,1.36,hBN,3,,,
58.44,1,102,5,1.36,hBN,3,,,
110.98,2,100,0.001,3.1,hBN,2,,,
110.98,2,100,0.01,3.1,hBN,1,,,
110.98,2,100,0.05,3.1,hBN,3,,,
110.98,2,100,0.1,3.1,hBN,3,,,
110.98,2,100,0.5,3.1,hBN,3,,,
110.98,2,100,1,3.1,hBN,3,,,
110.98,2,100,2,3.1,hBN,3,,,
110.98,2,100,3,3.1,hBN,1,,,
110.98,2,100,4,3.1,hBN,1,,,
110.98,2,100,5,3.1,hBN,1,,,
110.98,2,100,6,3.1,hBN,1,,,
74.55,1,138,3,3.1,hBN,3,,,
133.34,3,50,0.001,3.1,hBN,4,,,
133.34,3,50,0.01,3.1,hBN,4,,,
133.34,3,50,0.1,3.1,hBN,4,,,
133.34,3,50,0.5,3.1,hBN,1,,,
133.34,3,50,1,3.1,hBN,1,,,
133.34,3,50,2,3.1,hBN,1,,,
133.34,3,50,3,3.1,hBN,3,,,
125.84,2,83,2,0.7,hBN,3,,,
125.84,2,83,3,0.7,hBN,3,,,
125.84,2,83,5,0.7,hBN,1,,,
125.84,2,83,0.25,0.7,hBN,3,,,
125.84,2,83,2,0.7,hBN,1,,,
125.84,2,83,0.1,0.7,hBN,3,,,
125.84,2,83,4,0.7,hBN,3,,,
125.84,2,83,1.5,0.7,hBN,2,,,
125.84,2,83,1,0.7,hBN,2,,,
125.84,2,83,3,0.7,hBN,1,,,
125.84,2,83,5,0.7,hBN,4,,,
125.84,2,83,0.1,0.7,hBN,2,,,
125.84,2,83,5,0.7,hBN,3,,,
125.84,2,83,4,0.7,hBN,1,,,
125.84,2,83,1,0.7,hBN,1,,,
125.84,2,83,1,0.7,hBN,4,,,
125.84,2,83,1,3.9,hBN,2,,,
125.84,2,83,1,3.9,hBN,4,,,
125.84,2,83,0.1,3.9,hBN,4,,,
125.84,2,83,0.1,2,hBN,3,,,
125.84,2,83,0.5,0.7,hBN,4,,,
95.21,2,72,1,3.9,hBN,2,,,
95.21,2,72,1,0.7,hBN,2,,,
129.6,2,69,1,3.9,hBN,3,,,
129.6,2,69,0.1,2,hBN,3,,,
110.98,2,100,1,0.7,hBN,3,,,
95.21,2,72,1,0.7,hBN,2,,,
129.6,2,69,1,0.7,hBN,2,,,
36.46,1,0.00084,1,0.86,MoS2,3,,,
36.46,1,0.00084,0.1,0.68,MoS2,3,,,
36.46,1,0.00084,0.1,0.7,MoS2,3,,,
42.39,1,76,6,0.68,MoS2,3,,,
42.39,1,76,8,0.68,MoS2,3,,,
42.39,1,76,0.1,8.5,MoS2,1,,,
42.39,1,76,0.5,27,MoS2,3,,,
42.39,1,76,8,27,MoS2,3,,,
42.39,1,76,3,0.72,MoS2,3,,,
42.39,1,76,3,8.5,MoS2,3,,,
42.39,1,76,0.1,0.72,MoS2,3,,,
42.39,1,76,10,0.68,MoS2,3,,,
42.39,1,76,0.01,0.68,MoS2,4,,,
42.39,1,76,1,0.68,MoS2,3,,,
42.39,1,76,0.1,0.68,MoS2,3,,,
42.39,1,76,0.5,0.68,MoS2,3,,,
42.39,1,76,0.1,27,MoS2,3,,,
42.39,1,76,1,8.5,MoS2,3,,,
42.39,1,76,0.1,1,MoS2,3,,,
42.39,1,76,1,0.86,MoS2,3,,,
42.39,1,76,10,27,MoS2,3,,,
42.39,1,76,0.1,0.7,MoS2,1,,,
42.39,1,76,2,0.68,MoS2,3,,,
42.39,1,76,3,27,MoS2,1,,,
42.39,1,76,1,0.72,MoS2,3,,,
42.39,1,76,0.001,1,MoS2,3,,,
42.39,1,76,2,27,MoS2,3,,,
42.39,1,76,6,27,MoS2,3,,,
42.39,1,76,0.001,8.5,MoS2,4,,,
42.39,1,76,4,0.68,MoS2,3,,,
42.39,1,76,1,1,MoS2,3,,,
42.39,1,76,1,0.86,MoS2,3,,,
42.39,1,76,3,0.7,MoS2,3,,,
42.39,1,76,1,0.7,MoS2,3,,,
42.39,1,76,1,0.86,MoS2,3,,,
42.39,1,76,0.01,8.5,MoS2,4,,,
42.39,1,76,4,27,MoS2,1,,,
42.39,1,76,1,27,MoS2,1,,,
42.39,1,76,0.01,27,MoS2,3,,,
42.39,1,76,0.01,0.72,MoS2,1,,,
42.39,1,76,1,0.68,MoS2,3,,,
58.44,1,102,1,0.72,MoS2,3,,,
58.44,1,102,0.001,1,MoS2,3,,,
58.44,1,102,0.01,8.5,MoS2,4,,,
58.44,1,102,0.001,8.5,MoS2,4,,,
58.44,1,102,1,0.7,MoS2,3,,,
58.44,1,102,3,8.5,MoS2,1,,,
58.44,1,102,0.1,0.72,MoS2,3,,,
58.44,1,102,1,1,MoS2,3,,,
58.44,1,102,1,0.86,MoS2,3,,,
58.44,1,102,3,1,MoS2,3,,,
58.44,1,102,3,0.72,MoS2,3,,,
58.44,1,102,3,0.7,MoS2,3,,,
58.44,1,102,0.01,0.72,MoS2,1,,,
58.44,1,102,0.1,0.7,MoS2,1,,,
74.55,1,138,3,0.7,MoS2,3,,,
74.55,1,138,3,8.5,MoS2,3,,,
74.55,1,138,1,0.68,MoS2,3,,,
74.55,1,138,1,8.5,MoS2,1,,,
74.55,1,138,1,0.72,MoS2,3,,,
74.55,1,138,3,0.7,MoS2,3,,,
74.55,1,138,1,0.7,MoS2,3,,,
74.55,1,138,3,0.68,MoS2,3,,,
74.55,1,138,0.1,1,MoS2,3,,,
74.55,1,138,0.1,0.7,MoS2,3,,,
74.55,1,138,1,0.86,MoS2,3,,,
74.55,1,138,0.1,0.72,MoS2,3,,,
74.55,1,138,1,0.86,MoS2,3,,,
74.55,1,138,0.1,0.7,MoS2,3,,,
74.55,1,138,0.01,0.7,MoS2,1,,,
74.55,1,138,1,0.86,MoS2,3,,,
74.55,1,138,0.01,8.5,MoS2,1,,,
74.55,1,138,0.1,8.5,MoS2,1,,,
74.55,1,138,0.001,8.5,MoS2,1,,,
74.55,1,138,0.01,0.72,MoS2,1,,,
110.98,2,100,0.1,0.7,MoS2,3,,,
110.98,2,100,3,0.72,MoS2,3,,,
110.98,2,100,1,0.7,MoS2,3,,,
110.98,2,100,0.001,0.7,MoS2,4,,,
110.98,2,100,0.1,0.72,MoS2,1,,,
110.98,2,100,0.001,8.5,MoS2,1,,,
110.98,2,100,0.01,8.5,MoS2,3,,,
110.98,2,100,0.001,0.7,MoS2,1,,,
110.98,2,100,0.01,0.7,MoS2,1,,,
110.98,2,100,1,0.72,MoS2,3,,,
110.98,2,100,3,0.7,MoS2,3,,,
133.34,3,50,3,0.72,MoS2,3,,,
133.34,3,50,0.1,0.68,MoS2,4,,,
133.34,3,50,3,0.7,MoS2,3,,,
133.34,3,50,1,10,MoS2,1,,,
133.34,3,50,0.1,8.5,MoS2,1,,,
133.34,3,50,0.1,0.68,MoS2,1,,,
133.34,3,50,3,1,MoS2,4,,,
133.34,3,50,0.1,0.72,MoS2,4,,,
133.34,3,50,0.5,0.68,MoS2,4,,,
133.34,3,50,0.001,1.4,MoS2,4,,,
133.34,3,50,1,0.72,MoS2,4,,,
133.34,3,50,1,8.5,MoS2,3,,,
133.34,3,50,3,0.68,MoS2,3,,,
133.34,3,50,0.001,0.7,MoS2,4,,,
133.34,3,50,0.001,10,MoS2,2,,,
133.34,3,50,0.01,0.68,MoS2,4,,,
133.34,3,50,0.1,0.7,MoS2,4,,,
133.34,3,50,0.001,8.5,MoS2,4,,,
133.34,3,50,2,0.68,MoS2,1,,,
133.34,3,50,1.5,0.68,MoS2,1,,,
133.34,3,50,1,0.68,MoS2,4,,,
133.34,3,50,0.01,1.4,MoS2,4,,,
133.34,3,50,0.01,0.68,MoS2,1,,,
133.34,3,50,0.01,0.7,MoS2,4,,,
133.34,3,50,1,1.4,MoS2,4,,,
133.34,3,50,1,0.68,MoS2,1,,,
133.34,3,50,1,0.7,MoS2,3,,,
133.34,3,50,1,0.86,MoS2,4,,,
133.34,3,50,3,8.5,MoS2,3,,,
133.34,3,50,0.1,1.4,MoS2,4,,,
133.34,3,50,0.01,10,MoS2,1,,,
133.34,3,50,0.1,10,MoS2,1,,,
133.34,3,50,0.01,8.5,MoS2,4,,,
133.34,3,50,0.1,1,MoS2,4,,,
133.34,3,50,1,1,MoS2,4,,,
165.7,1,490,1,0.86,MoS2,3,,,
129.6,2,69,1,0.86,MoS2,4,,,
125.84,2,83,1,0.68,MoS2,2,,,
125.84,2,83,1,0.86,MoS2,4,,,
125.84,2,83,1,0.86,MoS2,2,,,
95.21,2,72,1,0.86,MoS2,4,,,
